DateStartTime,Title,Cost,Location
1/03/2025 14:00,Walking,0,Petersham Park
2/03/2025 9:00,Running,0,Sydney Park
8/03/2025 10:15,Cycling,0,Bicentennial Park
9/03/2025 8:00,Yoga,10,Bondi Beach
22/03/2025 9:00,Swimming,0,Bondi Beach
23/03/2025 9:00,Swimming,10,Sydney Olympic Park Aquatic Centre
25/03/2025 18:00,Walking,0,Petersham Park
29/03/2025 10:30,Walking,0,Sydney Park
12/09/2001 13:52,Skateboarding,25,Da Skatepark
22/12/2027 09:52,Esports,1000,Olympic Stadium
12/09/2001 23:19,Dancing,75,Dancefloor
16/09/2026 19:46,Programming,75.99,At The Computer
29/09/2026 19:50,Basketball,24.99,NBSC
16/09/2026 19:18,Test 2,12.99,Test 2
17/09/2026 16:35,Basketball,12.45,Narrabeen Lake Community Center
31/08/2026 15:41,Search Filter Reset Test,0,Vsc
09/09/2026 11:43,Test Search Filter Reset 2,0,Vsc Test
